Direct,CBM,Direct|CBM
,K18934,K01286
,K13797,K00343
,K15022,K00241
,K16305,K01963
,K01269,K03412
,K07546,K00640
,K14194,K00432
,K00032,K10441
,K02486,K02037
,K11441,K00763
,K15760,K01534
,K15761,K03149
,K15763,K03525
,K15764,K00342
,K04086,K02483
,K06599,K11749
,K12545,K07462
,K13040,K09812
,K18678,K03722
,K02778,K01662
,K06121,K01247
,K13936,K11996
,K15373,K01599
,K18699,K03439
,K18921,K08591
,K19056,K03621
,K00785,K01653
,K01746,K01934
,K13041,K03629
,K00196,K09811
,K05363,K03789
,K12993,K09747
,K13927,K01740
,K18474,K01356
,K07288,K03637
,K09805,K01486
,K09860,K07042
,K11013,K04042
,K11015,K03570
,K15895,K02492
,K15899,K00390
,K15912,K06999
,K15913,K02039
,K15914,K00340
,K15915,K01515
,K16293,K03210
,K16294,K03555
,K17870,K01633
,K17898,K03575
,K18291,K03407
,K18992,K06949
,K19311,K00805
,K01158,K04750
,K02840,K06886
,K07591,K09014
,K02531,K02669
,K04962,K03630
,K11517,K00330
,K14939,K02073
,K07041,K03559
,K14440,K11991
,K03277,K03695
,K07311,K00854
,K07352,K12573
,K09953,K01693
,K11386,K03169
,K12679,K05837
,K12996,K08303
,K13009,K01489
,K15538,K00426
,K17473,K03455
,K18145,K06994
,K18226,K00620
,K19734,K03565
,K00298,K05810
,K01683,K00997
,K01347,K07071
,K04478,K13292
,K05304,K00341
,K05951,K01589
,K06922,K02372
,K07800,K09015
,K08255,K00338
,K08258,K02010
,K09813,K04749
,K09814,K02687
,K10672,K03590
,K10850,K07038
,K11442,K07738
,K11694,K02914
,K11695,K03832
,K12551,K00337
,K12552,K03092
,K12553,K01962
,K14195,K00164
,K15303,K00937
,K17363,K07124
,K18766,K04488
,K18906,K01207
,K18935,K00611
,K19077,K00265
,K19078,K00339
,K19079,K01975
,K19080,K07047
,K19081,K00991
,K19082,K02018
,K19083,K00688
,K19084,K03431
,K00227,K00331
,K00289,K03060
,K01390,K03589
,K02383,K03442
,K04053,K01770
,K04056,K04773
,K04059,K03437
,K06600,K03705
,K07092,K02970
,K07485,K00324
,K08286,K03601
,K09483,K00700
,K10917,K07658
,K11916,K01772
,K12294,K04517
,K12295,K18979
,K13371,K01439
,K16152,K03602
,K17398,K00333
,K18073,K03752
,K18129,K03650
,K18248,K01619
,K18308,K14742
,K18830,K04567
,K11030,K00332
,K00280,K00703
,K03191,K02020
,K03416,K00140
,K07545,K00852
,K07550,K00989
,K07695,K02221
,K10797,K03282
,K11608,K00761
,K14604,K07560
,K15569,K00759
,K15755,K02652
,K15995,K07552
,K17490,K01480
,K17899,K07305
,K19216,K01251
,K01216,K02012
,K09469,K00831
,K12997,K03495
,K12999,K03561
,K13329,K00721
,K15970,K03523
,K19137,K02259
,K00385,K07263
,K00870,K03306
,K01668,K01625
,K03287,K02071
,K06125,K00783
,K08085,K02072
,K13059,K03800
,K13322,K06442
,K14192,K07007
,K16191,K01118
,K16950,K02334
,K16951,K02477
,K18574,K01579
,K01446,K07238
,K06034,K00123
,K06951,K00818
,K07268,K15583
,K11005,K01438
,K12453,K10716
,K12810,K02011
,K14481,K01785
,K14482,K01791
,K15878,K06296
,K15879,K01273
,K19275,K01012
,K00709,K01768
,K07453,K04518
,K07511,K00121
,K10775,K02066
,K14648,K17103
,K15643,K03636
,K18381,K06213
,K01132,K01258
,K04036,K03823
,K05977,K01206
,K08900,K08602
,K13065,K06196
,K14244,K01179
,K17623,K05847
,K18016,K02379
,K18017,K02406
,K18023,K07507
,K19652,K07533
,K00062,K07391
,K00485,K15738
,K00737,K01692
,K05658,K00027
,K05953,K06881
,K08196,K08483
,K11912,K02405
,K12239,K00946
,K13004,K06297
,K13659,K03978
,K13660,K00549
,K14664,K01790
,K18221,K00537
,K18275,K00936
,K18987,K01613
,K19723,K02653
,K00194,K06902
,K00197,K01159
,K02891,K04047
,K03493,K01971
,K09138,K07460
,K10742,K18682
,K12261,K03742
,K14138,K03783
,K15023,K03327
,K16968,K01658
,K16969,K15580
,K18216,K01835
,K18217,K07588
,K19700,K01424
,,K12257
,,K01620
,,K06958
,,K02502
,,K01991
,,K02002
,,K01443
,,K01640
,,K07516
,,K03310
,,K06959
,,K00287
,,K00851
,,K08738
,,K02556
,,K02622
,,K00872
,,K00174
,,K00175
,,K16264
,,K02303
,,K00857
,,K07213
,,K00560
,,K01912
,,K02837
,,K07697
,,K02052
,,K02919
,,K06920
,,K01847
,,K06950
,,K03719
,,K02283
,,K05808
,,K00526
,,K07483
,,K03980
,,K00971
,,K00100
,,K03741
,,K00297
,,K00294
,,K00285
,,K01611
,,K09022
,,K00573
,,K12410
,,K13789
,,K02237
,,K07729
,,K06891
,,K00252
,,K07335
,,K01760
,,K01419
,,K03667
,,K02055
,,K09888
,,K03154
,,K01129
,,K15866
,,K02621
,,K00865
,,K04751
,,K17318
,,K17319
,,K17320
,,K01739
,,K09808
,,K02233
,,K00335
,,K07010
,,K02401
,,K00925
,,K01512
,,K01520
,,K02420
,,K02421
,,K02390
,,K03688
,,K00797
,,K02227
,,K01966
,,K02851
,,K01151
,,K01433
,,K07040
,,K07089
,,K03642
,,K09769
,,K07095
,,K06960
,,K11755
,,K07027
,,K01610
,,K01745
,,K06016
,,K10947
,,K03587
,,K03801
,,K04486
,,K07402
,,K01809
,,K07160
,,K01926
,,K07220
,,K02400
,,K00318
,,K02412
,,K02065
,,K02419
,,K00639
,,K03821
,,K04757
,,K03648
,,K18707
,,K03147
,,K00282
,,K00283
,,K07735
,,K15582
,,K09457
,,K05515
,,K03427
,,K00459
,,K02417
,,K01638
,,K00097
,,K02564
,,K07793
,,K02388
,,K07727
,,K06346
,,K03216
,,K09815
,,K01028
,,K02067
,,K02389
,,K03179
,,K07045
,,K07315
,,K09162
,,K01190
,,K02231
,,K00849
,,K02416
,,K04094
,,K03787
,,K01560
,,K09773
,,K01299
,,K09767
,,K03386
,,K03498
,,K00334
,,K09810
,,K07032
,,K00381
,,K00784
,,K17828
,,K15581
,,K02575
,,K02232
,,K08963
,,K02517
,,K02548
,,K02408
,,K06407
,,K09768
,,K02409
,,K02387
,,K02446
,,K03518
,,K11068
,,K03744
,,K14393
,,K01029
,,K01537
,,K02410
,,K03666
,,K01712
,,K00970
,,K15633
,,K01061
,,K09772
,,K09825
,,K00428
,,K01724
,,K09807
,,K03734
,,K03563
,,K04083
,,K17759
,,K10979
,,K04079
,,K02396
,,K07461
,,K03153
,,K02347
,,K06215
,,K01468
,,K03799
,,K00336
,,K02823
,,K07177
,,K07282
,,K07456
,,K00824
,,K06973
,,K07146
,,K08681
,,K08296
,,K02116
,,K07104
,,K01665
,,K06996
,,K03402
,,K07403
,,K05568
,,K01802
,,K03652
,,K05337
,,K08301
,,K02053
,,K07030
,,K01840
,,K08989
,,K11927
,,K00874
,,K01886
,,K00782
,,K03090
,,K01239
,,K08744
,,K03305
,,K09684
,,K17763
,,K02415
,,K01916
,,K01533
,,K07011
,,K00965
,,K03638
,,K00275
,,K18928
,,K00019
,,K00974
,,K01880
,,K03546
,,K02397
,,K06877
,,K00167
,,K01938
,,K01834
,,K03893
,,K01595
,,K18929
,,K03308
,,K01476
,,K03928
,,K11473
,,K07043
,,K00130
,,K00375
,,K06885
,,K02058
,,K07259
,,K05567
,,K08976
,,K07037
,,K00641
,,K02499
,,K05571
,,K01451
,,K01243
,,K02304
,,K00166
,,K05569
,,K02536
,,K15726
,,K16511
,,K03316
,,K05570
,,K07404
,,K01893
,,K02422
,,K01839
,,K01821
,,K01669
,,K05565
,,K16898
,,K02662
,,K01950
,,K01421
,,K09817
,,K07260
,,K05820
,,K07979
,,K01507
,,K07742
,,K06406
,,K08223
,,K00571
,,K01807
,,K09762
,,K07736
,,K06915
,,K01153
,,K02054
,,K09816
,,K02224
,,K07149
,,K03072
,,K03820
,,K11741
,,K03074
,,K09699
,,K10907
,,K06888
,,K00380
,,K01637
,,K00819
,,K01626
,,K07407
,,K09125
,,K06023
,,K07141
,,K00574
,,K01494
,,K03684
,,K06048
,,K02226
,,K00231
,,K16899
,,K03753
,,K01734
,,K02411
,,K03571
