Direct,CBM,Direct|CBM
ASV2351,ASV1616,
ASV3541,ASV3721,
ASV3662,ASV1954,
ASV3065,ASV2337,
ASV3500,ASV1362,
ASV2141,ASV1211,
ASV3664,ASV2051,
ASV3542,ASV3148,
ASV2767,ASV2644,
ASV3329,ASV209,
ASV3180,ASV576,
ASV2885,ASV1019,
ASV2319,ASV1085,
ASV2917,ASV1493,
ASV1201,ASV1514,
ASV3067,ASV2065,
ASV2477,ASV2184,
ASV3523,ASV2324,
ASV3070,ASV2898,
ASV3739,ASV179,
ASV3050,ASV873,
ASV3737,ASV999,
ASV3463,ASV1596,
ASV2840,ASV2000,
ASV1809,ASV1238,
ASV2456,ASV1333,
ASV3034,ASV1386,
ASV3684,ASV883,
ASV2548,ASV1528,
ASV3217,ASV1304,
ASV2225,ASV2705,
ASV3661,ASV1786,
ASV2674,ASV2375,
ASV2753,ASV2121,
ASV1843,ASV1432,
ASV2689,ASV2009,
ASV3448,ASV2745,
ASV1902,ASV1360,
ASV3691,ASV1097,
ASV3332,ASV1669,
ASV3438,ASV2334,
ASV3608,ASV2576,
ASV2792,ASV1182,
ASV1871,ASV988,
ASV1634,ASV2247,
ASV2521,ASV2328,
ASV2482,ASV1268,
ASV2454,ASV1927,
ASV1273,ASV724,
ASV2756,ASV1021,
ASV2681,ASV1439,
ASV3123,ASV1763,
ASV3224,ASV855,
ASV1734,ASV412,
ASV1010,ASV488,
ASV2985,ASV642,
ASV1681,ASV3581,
ASV3315,ASV1576,
ASV3197,ASV2103,
ASV2842,ASV181,
ASV2211,ASV1260,
ASV1745,ASV1417,
ASV2827,ASV1495,
ASV3446,ASV2144,
ASV1512,ASV2322,
ASV2938,ASV2331,
ASV2266,ASV65,
ASV3134,ASV167,
ASV1399,ASV519,
ASV1808,ASV949,
ASV2626,ASV1887,
ASV2675,ASV2555,
ASV958,ASV1134,
ASV3535,ASV2636,
ASV2142,ASV1272,
ASV3373,ASV477,
ASV3024,ASV1987,
ASV2617,ASV1621,
ASV2939,ASV2097,
ASV3144,ASV548,
ASV3317,ASV2780,
ASV3457,ASV2784,
ASV2248,ASV3403,
ASV2919,ASV536,
ASV3216,ASV1501,
ASV2715,ASV2159,
ASV2896,ASV2195,
ASV2526,ASV439,
ASV2628,ASV2395,
ASV2687,ASV2855,
ASV2481,ASV744,
ASV3121,ASV1389,
ASV1948,ASV2862,
ASV3367,ASV3111,
ASV2207,ASV3239,
ASV1901,ASV508,
ASV3755,ASV1400,
ASV3741,ASV2635,
ASV3178,ASV982,
ASV3196,ASV682,
ASV2419,ASV432,
ASV3380,ASV3486,
ASV2610,ASV402,
ASV3495,ASV1242,
ASV3182,ASV1494,
ASV3372,ASV318,
ASV2622,ASV996,
ASV3666,ASV1012,
ASV3595,ASV1195,
ASV3264,ASV1249,
ASV2982,ASV1353,
ASV3534,ASV1424,
ASV3187,ASV1492,
ASV2226,ASV75,
ASV2729,ASV291,
ASV3764,ASV1156,
ASV1220,ASV2231,
ASV1914,ASV1108,
ASV3663,ASV1198,
ASV2525,ASV2414,
ASV2762,ASV1088,
ASV3672,ASV3251,
ASV3344,ASV1635,
ASV1916,ASV3160,
ASV2673,ASV2125,
ASV3203,ASV1393,
ASV2841,ASV419,
ASV3061,ASV483,
ASV3350,ASV3636,
ASV2269,ASV2174,
ASV2764,ASV2788,
ASV2881,ASV852,
ASV1682,ASV1020,
ASV2724,ASV1523,
ASV3675,ASV2963,
ASV1313,ASV1441,
ASV2471,ASV2974,
ASV2768,ASV723,
ASV3140,ASV1140,
ASV3587,ASV1416,
ASV3665,ASV1837,
ASV2473,ASV1878,
ASV2300,ASV99,
ASV3355,ASV963,
ASV3062,ASV1277,
ASV2422,ASV1430,
ASV2371,ASV101,
ASV3071,ASV1141,
ASV3439,ASV1376,
ASV1570,ASV1538,
ASV3520,ASV2197,
ASV3533,ASV2499,
ASV2224,ASV2638,
ASV3501,ASV3161,
ASV3621,ASV911,
ASV2754,ASV2954,
ASV2880,ASV3584,
ASV3322,ASV1396,
ASV3036,ASV1907,
ASV2716,ASV3010,
ASV2836,ASV2852,
ASV2991,ASV279,
ASV2206,ASV349,
ASV3323,ASV1708,
ASV2923,ASV1709,
ASV1947,ASV1975,
ASV3502,ASV2008,
ASV2690,ASV2016,
ASV2761,ASV2021,
ASV1869,ASV2175,
ASV2588,ASV2601,
ASV3039,ASV335,
ASV3259,ASV2346,
ASV2801,ASV3731,
ASV2892,ASV173,
ASV2523,ASV942,
ASV3467,ASV1385,
ASV3766,ASV1865,
ASV2086,ASV2096,
ASV2897,ASV2290,
ASV3366,ASV2871,
ASV2136,ASV2818,
ASV2990,ASV3165,
ASV3288,ASV3573,
ASV3370,ASV481,
ASV3132,ASV977,
ASV2538,ASV2578,
ASV2137,ASV515,
ASV3530,ASV1307,
ASV2657,ASV1691,
ASV2671,ASV773,
ASV2945,ASV877,
ASV3346,ASV269,
ASV3603,ASV1574,
ASV3546,ASV2418,
ASV3532,ASV3732,
ASV2720,ASV1741,
ASV3545,ASV1490,
ASV2997,ASV219,
ASV2167,ASV277,
ASV2719,ASV619,
ASV2995,ASV630,
ASV2474,ASV1775,
ASV2843,ASV465,
ASV3455,ASV1005,
ASV1234,ASV1095,
ASV2884,ASV1300,
ASV3619,ASV1531,
ASV3351,ASV1702,
ASV1988,ASV1851,
ASV2249,ASV2034,
ASV2453,ASV3012,
ASV3028,ASV739,
ASV2793,ASV1306,
ASV2763,ASV3172,
ASV3763,ASV1707,
ASV2722,ASV1680,
ASV2450,ASV1168,
ASV1587,ASV98,
ASV3754,ASV153,
ASV2769,ASV1254,
ASV3597,ASV1470,
ASV3131,ASV1905,
ASV3752,ASV2666,
ASV3525,ASV3638,
ASV3767,ASV929,
ASV1235,ASV1765,
ASV1131,ASV2777,
ASV3770,ASV915,
ASV3453,ASV909,
ASV3282,ASV1214,
ASV3378,ASV1649,
ASV2718,ASV2053,
ASV2909,ASV2218,
ASV3751,ASV2296,
ASV3280,ASV2970,
ASV2407,ASV1465,
ASV3001,ASV2088,
ASV3289,ASV3574,
ASV3137,ASV3297,
ASV3069,ASV1516,
ASV3622,ASV458,
ASV3040,ASV1672,
ASV2046,ASV839,
ASV3277,ASV2533,
ASV776,ASV3381,
ASV2455,ASV1952,
ASV2618,ASV2188,
ASV3682,ASV606,
ASV2265,ASV1040,
ASV2921,ASV448,
ASV2989,ASV1184,
ASV3219,ASV1719,
ASV3772,ASV3246,
ASV3679,ASV487,
ASV3602,ASV537,
ASV3442,ASV938,
ASV3504,ASV1090,
ASV2655,ASV1145,
ASV2725,ASV1219,
ASV1245,ASV1275,
ASV3778,ASV1319,
ASV3669,ASV1475,
ASV3124,ASV2196,
ASV2994,ASV2292,
ASV1423,ASV2487,
ASV1919,ASV2490,
ASV3031,ASV2529,
ASV2937,ASV2058,
ASV2688,ASV2171,
ASV2546,ASV1551,
ASV3283,ASV2007,
ASV2449,ASV2701,
ASV2653,ASV2853,
ASV3627,ASV3575,
ASV3052,ASV3299,
ASV923,ASV2966,
ASV3617,ASV3103,
ASV2087,ASV521,
ASV3060,ASV2199,
ASV2797,ASV425,
ASV2799,ASV3099,
ASV3118,ASV15,
ASV2752,ASV1585,
ASV3748,ASV2281,
ASV3265,ASV2858,
ASV2912,ASV182,
ASV3286,ASV1017,
ASV3261,ASV801,
ASV3689,ASV1173,
ASV798,ASV1174,
ASV2830,ASV1257,
ASV3138,ASV1284,
ASV2522,ASV1489,
ASV3130,ASV474,
ASV3750,ASV475,
ASV3629,ASV810,
ASV2586,ASV1830,
ASV1078,ASV1997,
ASV3436,ASV3407,
ASV3290,ASV3493,
ASV3139,ASV3562,
ASV2581,ASV3717,
ASV2421,ASV2783,
ASV1115,ASV3110,
ASV2916,ASV1123,
ASV1623,ASV1638,
ASV3620,ASV1950,
ASV3059,ASV1720,
ASV2726,ASV1751,
ASV3435,ASV1783,
ASV1790,ASV1817,
ASV3472,ASV1820,
ASV2584,ASV1848,
ASV3624,ASV2258,
ASV2205,ASV123,
ASV3458,ASV280,
ASV1305,ASV293,
ASV2006,ASV333,
ASV1031,ASV345,
ASV3434,ASV388,
ASV2794,ASV407,
ASV3053,ASV553,
ASV3625,ASV669,
ASV2890,ASV708,
ASV3757,ASV953,
ASV2540,ASV1352,
ASV2615,ASV1461,
ASV2299,ASV1636,
ASV3528,ASV1716,
ASV3452,ASV1758,
ASV3623,ASV2093,
ASV2795,ASV3698,
ASV3683,ASV224,
ASV3760,ASV888,
ASV3328,ASV1459,
ASV2102,ASV1474,
ASV2047,ASV2740,
ASV2883,ASV2321,
ASV2318,ASV2558,
ASV3274,ASV3399,
ASV3281,ASV1849,
ASV2372,ASV2309,
ASV2891,ASV3632,
ASV1868,ASV1602,
ASV2297,ASV3156,
ASV2992,ASV1143,
ASV2122,ASV3708,
ASV3278,ASV2252,
ASV3465,ASV885,
ASV3064,ASV916,
ASV1314,ASV194,
ASV1467,ASV2398,
ASV3503,ASV1877,
ASV3198,ASV3080,
ASV3285,ASV3235,
ASV1870,ASV1936,
ASV2796,ASV2714,
ASV3765,ASV569,
ASV3593,ASV742,
ASV2935,ASV756,
ASV1844,ASV803,
ASV2350,ASV1443,
ASV2889,ASV1138,
ASV2374,ASV1654,
ASV1991,ASV746,
ASV3641,ASV1814,
ASV2828,ASV3494,
ASV3220,ASV1481,
ASV2927,ASV1500,
ASV3141,ASV2856,
ASV3146,ASV957,
ASV1171,ASV3094,
ASV1617,ASV2517,
ASV2723,ASV2641,
ASV3287,ASV1030,
ASV3142,ASV3311,
ASV1290,ASV1857,
ASV2005,ASV2488,
ASV1274,ASV1288,
ASV3774,ASV1572,
ASV3340,ASV1480,
ASV1992,ASV1593,
ASV3761,ASV1627,
ASV3432,ASV1796,
ASV2478,ASV1859,
ASV3377,ASV2270,
ASV3769,ASV2865,
ASV3119,ASV92,
ASV3145,ASV344,
